Date,Flow (MGD),Velocity (ft/s),Depth (inches),Rainfall (inches)
2018-04-01 00:00:00,0.09,0.63,3.14,0.0
2018-04-01 00:15:00,0.09,0.62,3.12,0.0
2018-04-01 00:30:00,0.09,0.6,3.14,0.0
2018-04-01 00:45:00,0.09,0.6,3.16,0.0
2018-04-01 01:00:00,0.1,0.68,3.07,0.0
2018-04-01 01:15:00,0.1,0.68,3.1,0.0
2018-04-01 01:30:00,0.09,0.66,3.09,0.0
2018-04-01 01:45:00,0.1,0.71,3.09,0.0
2018-04-01 02:00:00,0.09,0.67,3.07,0.0
2018-04-01 02:15:00,0.1,0.74,3.08,0.0
2018-04-01 02:30:00,0.1,0.68,3.13,0.0
2018-04-01 02:45:00,0.09,0.65,3.11,0.0
2018-04-01 03:00:00,0.09,0.64,3.07,0.0
2018-04-01 03:15:00,0.09,0.61,3.1,0.0
2018-04-01 03:30:00,0.11,0.78,3.12,0.0
2018-04-01 03:45:00,0.1,0.67,3.12,0.0
2018-04-01 04:00:00,0.09,0.65,3.09,0.0
2018-04-01 04:15:00,0.11,0.74,3.13,0.0
2018-04-01 04:30:00,0.09,0.66,3.13,0.0
2018-04-01 04:45:00,0.1,0.68,3.13,0.0
2018-04-01 05:00:00,0.1,0.7,3.13,0.0
2018-04-01 05:15:00,0.1,0.69,3.13,0.0
2018-04-01 05:30:00,0.1,0.69,3.12,0.0
2018-04-01 05:45:00,0.1,0.67,3.12,0.0
2018-04-01 06:00:00,0.09,0.65,3.11,0.0
2018-04-01 06:15:00,0.1,0.72,3.1,0.0
2018-04-01 06:30:00,0.1,0.71,3.09,0.0
2018-04-01 06:45:00,0.1,0.71,3.15,0.0
2018-04-01 07:00:00,0.1,0.67,3.14,0.0
2018-04-01 07:15:00,0.1,0.69,3.13,0.0
2018-04-01 07:30:00,0.11,0.73,3.17,0.0
2018-04-01 07:45:00,0.1,0.64,3.33,0.0
2018-04-01 08:00:00,0.1,0.68,3.25,0.0
2018-04-01 08:15:00,0.11,0.69,3.27,0.0
2018-04-01 08:30:00,0.1,0.66,3.24,0.0
2018-04-01 08:45:00,0.1,0.67,3.21,0.0
2018-04-01 09:00:00,0.11,0.7,3.24,0.0
2018-04-01 09:15:00,0.11,0.71,3.23,0.0
2018-04-01 09:30:00,0.1,0.66,3.33,0.0
2018-04-01 09:45:00,0.12,0.82,3.21,0.0
2018-04-01 10:00:00,0.11,0.74,3.19,0.0
2018-04-01 10:15:00,0.11,0.72,3.18,0.0
2018-04-01 10:30:00,0.09,0.57,3.24,0.0
2018-04-01 10:45:00,0.11,0.75,3.23,0.0
2018-04-01 11:00:00,0.1,0.68,3.22,0.0
2018-04-01 11:15:00,0.11,0.67,3.32,0.0
2018-04-01 11:30:00,0.11,0.7,3.32,0.0
2018-04-01 11:45:00,0.1,0.64,3.3,0.0
2018-04-01 12:00:00,0.1,0.66,3.27,0.0
2018-04-01 12:15:00,0.11,0.72,3.25,0.0
2018-04-01 12:30:00,0.11,0.67,3.36,0.0
2018-04-01 12:45:00,0.1,0.63,3.28,0.0
2018-04-01 13:00:00,0.11,0.71,3.19,0.0
2018-04-01 13:15:00,0.1,0.67,3.29,0.0
2018-04-01 13:30:00,0.13,0.84,3.32,0.0
2018-04-01 13:45:00,0.1,0.65,3.31,0.0
2018-04-01 14:00:00,0.11,0.67,3.33,0.0
2018-04-01 14:15:00,0.11,0.68,3.46,0.0
2018-04-01 14:30:00,0.11,0.72,3.27,0.0
2018-04-01 14:45:00,0.1,0.68,3.28,0.0
2018-04-01 15:00:00,0.1,0.65,3.25,0.0
2018-04-01 15:15:00,0.09,0.62,3.21,0.0
2018-04-01 15:30:00,0.1,0.62,3.29,0.0
2018-04-01 15:45:00,0.12,0.73,3.33,0.0
2018-04-01 16:00:00,0.11,0.71,3.22,0.0
2018-04-01 16:15:00,0.1,0.67,3.28,0.0
2018-04-01 16:30:00,0.07,0.44,3.24,0.0
2018-04-01 16:45:00,0.1,0.67,3.23,0.0
2018-04-01 17:00:00,0.09,0.6,3.23,0.0
2018-04-01 17:15:00,0.1,0.7,3.16,0.0
2018-04-01 17:30:00,0.1,0.67,3.29,0.0
2018-04-01 17:45:00,0.11,0.75,3.22,0.0
2018-04-01 18:00:00,0.1,0.67,3.22,0.0
2018-04-01 18:15:00,0.1,0.6,3.39,0.0
2018-04-01 18:30:00,0.09,0.64,3.18,0.0
2018-04-01 18:45:00,0.1,0.66,3.24,0.0
2018-04-01 19:00:00,0.1,0.66,3.19,0.0
2018-04-01 19:15:00,0.12,0.78,3.22,0.0
2018-04-01 19:30:00,0.11,0.69,3.26,0.0
2018-04-01 19:45:00,0.1,0.7,3.21,0.0
2018-04-01 20:00:00,0.11,0.73,3.27,0.0
2018-04-01 20:15:00,0.1,0.7,3.18,0.0
2018-04-01 20:30:00,0.12,0.71,3.41,0.0
2018-04-01 20:45:00,0.1,0.67,3.23,0.0
2018-04-01 21:00:00,0.1,0.64,3.24,0.0
2018-04-01 21:15:00,0.11,0.7,3.32,0.0
2018-04-01 21:30:00,0.1,0.68,3.29,0.0
2018-04-01 21:45:00,0.1,0.68,3.22,0.0
2018-04-01 22:00:00,0.11,0.74,3.17,0.0
2018-04-01 22:15:00,0.09,0.6,3.28,0.0
2018-04-01 22:30:00,0.1,0.67,3.17,0.0
2018-04-01 22:45:00,0.11,0.73,3.17,0.0
2018-04-01 23:00:00,0.12,0.78,3.21,0.0
2018-04-01 23:15:00,0.1,0.66,3.17,0.0
2018-04-01 23:30:00,0.1,0.64,3.21,0.0
2018-04-01 23:45:00,0.09,0.66,3.09,0.0
2018-04-02 00:00:00,0.09,0.61,3.13,0.0
2018-04-02 00:15:00,0.09,0.63,3.1,0.0
2018-04-02 00:30:00,0.08,0.57,3.06,0.0
2018-04-02 00:45:00,0.09,0.65,3.07,0.0
2018-04-02 01:00:00,0.09,0.67,3.03,0.0
2018-04-02 01:15:00,0.09,0.63,3.12,0.0
2018-04-02 01:30:00,0.09,0.63,3.1,0.0
2018-04-02 01:45:00,0.09,0.6,3.14,0.0
2018-04-02 02:00:00,0.1,0.68,3.1,0.0
2018-04-02 02:15:00,0.09,0.65,3.14,0.0
2018-04-02 02:30:00,0.1,0.66,3.15,0.0
2018-04-02 02:45:00,0.09,0.65,3.12,0.0
2018-04-02 03:00:00,0.09,0.66,3.1,0.0
2018-04-02 03:15:00,0.1,0.68,3.11,0.0
2018-04-02 03:30:00,0.1,0.7,3.15,0.0
2018-04-02 03:45:00,0.09,0.61,3.13,0.0
2018-04-02 04:00:00,0.1,0.67,3.12,0.0
2018-04-02 04:15:00,0.1,0.67,3.11,0.0
2018-04-02 04:30:00,0.09,0.66,3.1,0.0
2018-04-02 04:45:00,0.1,0.67,3.15,0.0
2018-04-02 05:00:00,0.1,0.68,3.11,0.0
2018-04-02 05:15:00,0.1,0.72,3.07,0.0
2018-04-02 05:30:00,0.11,0.76,3.12,0.0
2018-04-02 05:45:00,0.1,0.72,3.09,0.0
2018-04-02 06:00:00,0.09,0.6,3.1,0.0
2018-04-02 06:15:00,0.09,0.64,3.11,0.0
2018-04-02 06:30:00,0.1,0.68,3.17,0.0
2018-04-02 06:45:00,0.1,0.71,3.18,0.0
2018-04-02 07:00:00,0.11,0.72,3.25,0.0
2018-04-02 07:15:00,0.11,0.72,3.18,0.0
2018-04-02 07:30:00,0.11,0.71,3.24,0.0
2018-04-02 07:45:00,0.11,0.74,3.18,0.0
